N,K,D,rep,condition,start_fitness,final_fitness,improvement,accepted_total,accepted_bad,accepted_bad_fraction,accepted_mean_distance,landscape_seed,steps
16,0,2,3,HM_naive,0.44802491632212255,0.5015794231812924,0.053554506859169904,48.0,24.0,0.5,1.2291666666666667,233343918,50
16,0,2,3,HM_channel,0.44802491632212255,0.5257457037668851,0.07772078744476257,26.0,12.0,0.46153846153846156,1.3461538461538463,233343918,50
16,0,2,3,Strong_delta_HM_channel,0.44802491632212255,-0.00013145853098650573,,,,,,233343918,50
16,0,2,3,Strong_delta_HM_naive,0.44802491632212255,-0.024297739116579176,,,,,,233343918,50
16,0,4,3,H,0.44802491632212255,0.514561582496628,0.06653666617450543,30.0,12.0,0.4,1.1333333333333333,233343918,50
16,0,4,3,M,0.44802491632212255,0.4319461731698443,-0.016078743152278252,50.0,22.0,0.44,3.14,233343918,50
16,0,4,3,HM_naive,0.44802491632212255,0.5185945821974116,0.07056966587528907,39.0,18.0,0.46153846153846156,1.5384615384615385,233343918,50
16,0,4,3,HM_channel,0.44802491632212255,0.5207827727910439,0.07275785646892136,15.0,5.0,0.3333333333333333,1.1333333333333333,233343918,50
16,0,4,3,Strong_delta_HM_channel,0.44802491632212255,0.006221190294415924,,,,,,233343918,50
16,0,4,3,Strong_delta_HM_naive,0.44802491632212255,0.004032999700783635,,,,,,233343918,50
16,0,8,3,H,0.44802491632212255,0.4981701192349588,0.05014520291283625,36.0,17.0,0.4722222222222222,1.0555555555555556,233343918,50
16,0,8,3,M,0.44802491632212255,0.43606730626199286,-0.011957610060129686,50.0,27.0,0.54,6.6,233343918,50
16,0,8,3,HM_naive,0.44802491632212255,0.5258771622978716,0.07785224597574908,32.0,14.0,0.4375,1.4375,233343918,50
16,0,8,3,HM_channel,0.44802491632212255,0.5078667191933006,0.059841802871178074,20.0,9.0,0.45,1.45,233343918,50
16,0,8,3,Strong_delta_HM_channel,0.44802491632212255,0.009696599958341823,,,,,,233343918,50
16,0,8,3,Strong_delta_HM_naive,0.44802491632212255,0.02770704306291283,,,,,,233343918,50
16,0,1,4,H,0.40031306919647197,0.6422897503503187,0.24197668115384668,19.0,6.0,0.3157894736842105,1.1578947368421053,452230556,50
16,0,1,4,M,0.40031306919647197,0.6044358351956884,0.20412276599921647,50.0,22.0,0.44,1.0,452230556,50
16,0,1,4,HM_naive,0.40031306919647197,0.6592318214791439,0.25891875228267197,43.0,17.0,0.3953488372093023,1.0,452230556,50
16,0,1,4,HM_channel,0.40031306919647197,0.6399944354767648,0.23968136628029285,28.0,11.0,0.39285714285714285,1.0357142857142858,452230556,50
16,0,1,4,Strong_delta_HM_channel,0.40031306919647197,-0.002295314873553833,,,,,,452230556,50
16,0,1,4,Strong_delta_HM_naive,0.40031306919647197,0.016942071128825287,,,,,,452230556,50
16,0,2,4,H,0.40031306919647197,0.651602241429907,0.251289172233435,20.0,7.0,0.35,1.2,452230556,50
16,0,2,4,M,0.40031306919647197,0.5941340375182395,0.19382096832176748,50.0,26.0,0.52,1.62,452230556,50
16,0,2,4,HM_naive,0.40031306919647197,0.6399944354767648,0.23968136628029285,36.0,15.0,0.4166666666666667,1.1944444444444444,452230556,50
16,0,2,4,HM_channel,0.40031306919647197,0.6530817241624283,0.2527686549659563,19.0,6.0,0.3157894736842105,1.3157894736842106,452230556,50
16,0,2,4,Strong_delta_HM_channel,0.40031306919647197,0.0014794827325212978,,,,,,452230556,50
16,0,2,4,Strong_delta_HM_naive,0.40031306919647197,-0.011607805953142147,,,,,,452230556,50
16,0,4,4,H,0.40031306919647197,0.6501508582729875,0.2498377890765155,22.0,7.0,0.3181818181818182,1.1363636363636365,452230556,50
16,0,4,4,M,0.40031306919647197,0.5450160065845794,0.1447029373881074,49.0,25.0,0.5102040816326531,3.3469387755102042,452230556,50
16,0,4,4,HM_naive,0.40031306919647197,0.6491034982585232,0.24879042906205123,28.0,10.0,0.35714285714285715,1.4642857142857142,452230556,50
16,0,4,4,HM_channel,0.40031306919647197,0.6501508582729875,0.2498377890765155,13.0,3.0,0.23076923076923078,1.7692307692307692,452230556,50
16,0,4,4,Strong_delta_HM_channel,0.40031306919647197,0.0,,,,,,452230556,50
16,0,4,4,Strong_delta_HM_naive,0.40031306919647197,-0.0010473600144642603,,,,,,452230556,50
16,0,8,4,H,0.40031306919647197,0.6522154031223324,0.2519023339258604,20.0,6.0,0.3,1.1,452230556,50
16,0,8,4,M,0.40031306919647197,0.554134680341989,0.153821611145517,49.0,17.0,0.3469387755102041,5.816326530612245,452230556,50
16,0,8,4,HM_naive,0.40031306919647197,0.6530817241624283,0.2527686549659563,24.0,11.0,0.4583333333333333,1.5416666666666667,452230556,50
16,0,8,4,HM_channel,0.40031306919647197,0.6607113042116654,0.2603982350151934,12.0,3.0,0.25,2.0,452230556,50
16,0,8,4,Strong_delta_HM_channel,0.40031306919647197,0.008495901089332958,,,,,,452230556,50
16,0,8,4,Strong_delta_HM_naive,0.40031306919647197,0.0008663210400958743,,,,,,452230556,50
16,0,1,5,H,0.5336417076945967,0.7047489236275569,0.1711072159329602,20.0,7.0,0.35,1.1,704686730,50
16,0,1,5,M,0.5336417076945967,0.642801813095073,0.10916010540047627,50.0,22.0,0.44,1.0,704686730,50
16,0,1,5,HM_naive,0.5336417076945967,0.7181557516778675,0.18451404398327076,42.0,17.0,0.40476190476190477,1.0,704686730,50
16,0,1,5,HM_channel,0.5336417076945967,0.7181557516778675,0.18451404398327076,24.0,8.0,0.3333333333333333,1.0,704686730,50
16,0,1,5,Strong_delta_HM_channel,0.5336417076945967,0.01340682805031057,,,,,,704686730,50
16,0,1,5,Strong_delta_HM_naive,0.5336417076945967,0.01340682805031057,,,,,,704686730,50
16,0,2,5,H,0.5336417076945967,0.7236892704979442,0.19004756280334745,13.0,2.0,0.15384615384615385,1.3076923076923077,704686730,50
16,0,2,5,M,0.5336417076945967,0.6560681033732859,0.12242639567868918,50.0,22.0,0.44,1.56,704686730,50
16,0,2,5,HM_naive,0.5336417076945967,0.7187825647903493,0.18514085709575256,31.0,13.0,0.41935483870967744,1.2258064516129032,704686730,50
16,0,2,5,HM_channel,0.5336417076945967,0.7236892704979442,0.19004756280334745,14.0,3.0,0.21428571428571427,1.2142857142857142,704686730,50
16,0,2,5,Strong_delta_HM_channel,0.5336417076945967,0.0,,,,,,704686730,50
16,0,2,5,Strong_delta_HM_naive,0.5336417076945967,-0.004906705707594883,,,,,,704686730,50
16,0,4,5,H,0.5336417076945967,0.7096556293351518,0.17601392164055507,20.0,7.0,0.35,1.05,704686730,50
16,0,4,5,M,0.5336417076945967,0.7187825647903493,0.18514085709575256,49.0,21.0,0.42857142857142855,3.020408163265306,704686730,50
16,0,4,5,HM_naive,0.5336417076945967,0.7236892704979442,0.19004756280334745,26.0,12.0,0.46153846153846156,1.4230769230769231,704686730,50
16,0,4,5,HM_channel,0.5336417076945967,0.7187825647903493,0.18514085709575256,11.0,3.0,0.2727272727272727,1.6363636363636365,704686730,50
16,0,4,5,Strong_delta_HM_channel,0.5336417076945967,0.0,,,,,,704686730,50
16,0,4,5,Strong_delta_HM_naive,0.5336417076945967,0.004906705707594883,,,,,,704686730,50
16,0,8,5,H,0.5336417076945967,0.6869496618855327,0.153307954190936,20.0,7.0,0.35,1.0,704686730,50
16,0,8,5,M,0.5336417076945967,0.6317568092770852,0.09811510158248848,48.0,23.0,0.4791666666666667,5.583333333333333,704686730,50
16,0,8,5,HM_naive,0.5336417076945967,0.7236892704979442,0.19004756280334745,21.0,8.0,0.38095238095238093,1.2857142857142858,704686730,50
16,0,8,5,HM_channel,0.5336417076945967,0.7236892704979442,0.19004756280334745,10.0,1.0,0.1,2.3,704686730,50
16,0,8,5,Strong_delta_HM_channel,0.5336417076945967,0.036739608612411434,,,,,,704686730,50
16,0,8,5,Strong_delta_HM_naive,0.5336417076945967,0.036739608612411434,,,,,,704686730,50
16,0,1,6,H,0.4136061905376343,0.6754550464439253,0.261848855906291,24.0,8.0,0.3333333333333333,1.0,1394325773,50
16,0,1,6,M,0.4136061905376343,0.6472596364168237,0.2336534458791894,49.0,21.0,0.42857142857142855,1.0,1394325773,50
16,0,1,6,HM_naive,0.4136061905376343,0.6854528855211772,0.2718466949835429,37.0,14.0,0.3783783783783784,1.0,1394325773,50
16,0,1,6,HM_channel,0.4136061905376343,0.6854528855211772,0.2718466949835429,21.0,6.0,0.2857142857142857,1.0,1394325773,50
16,0,1,6,Strong_delta_HM_channel,0.4136061905376343,0.009997839077251935,,,,,,1394325773,50
16,0,1,6,Strong_delta_HM_naive,0.4136061905376343,0.009997839077251935,,,,,,1394325773,50
16,0,2,6,H,0.4136061905376343,0.6802218236536532,0.26661563311601894,19.0,5.0,0.2631578947368421,1.0526315789473684,1394325773,50
16,0,2,6,M,0.4136061905376343,0.6226659439644986,0.20905975342686428,50.0,21.0,0.42,1.82,1394325773,50
16,0,2,6,HM_naive,0.4136061905376343,0.6802218236536532,0.26661563311601894,29.0,11.0,0.3793103448275862,1.3793103448275863,1394325773,50
16,0,2,6,HM_channel,0.4136061905376343,0.6854528855211772,0.2718466949835429,12.0,3.0,0.25,1.25,1394325773,50
16,0,2,6,Strong_delta_HM_channel,0.4136061905376343,0.005231061867523978,,,,,,1394325773,50
16,0,2,6,Strong_delta_HM_naive,0.4136061905376343,0.0,,,,,,1394325773,50
16,0,4,6,H,0.4136061905376343,0.657176658360535,0.24357046782290065,21.0,8.0,0.38095238095238093,1.1904761904761905,1394325773,50
16,0,4,6,M,0.4136061905376343,0.6686131856988133,0.25500699516117903,49.0,22.0,0.4489795918367347,2.938775510204082,1394325773,50
16,0,4,6,HM_naive,0.4136061905376343,0.6702239845764013,0.256617794038767,21.0,8.0,0.38095238095238093,1.380952380952381,1394325773,50
16,0,4,6,HM_channel,0.4136061905376343,0.6854528855211772,0.2718466949835429,7.0,0.0,0.0,2.142857142857143,1394325773,50
16,0,4,6,Strong_delta_HM_channel,0.4136061905376343,0.016839699822363885,,,,,,1394325773,50
16,0,4,6,Strong_delta_HM_naive,0.4136061905376343,0.0016107988775879711,,,,,,1394325773,50
16,0,8,6,H,0.4136061905376343,0.6854528855211772,0.2718466949835429,22.0,6.0,0.2727272727272727,1.0454545454545454,1394325773,50
16,0,8,6,M,0.4136061905376343,0.5812453965011168,0.16763920596348253,50.0,24.0,0.48,6.22,1394325773,50
16,0,8,6,HM_naive,0.4136061905376343,0.6743676714937412,0.2607614809561069,22.0,8.0,0.36363636363636365,1.4545454545454546,1394325773,50
16,0,8,6,HM_channel,0.4136061905376343,0.6754550464439253,0.261848855906291,12.0,4.0,0.3333333333333333,2.8333333333333335,1394325773,50
16,0,8,6,Strong_delta_HM_channel,0.4136061905376343,-0.009997839077251935,,,,,,1394325773,50
16,0,8,6,Strong_delta_HM_naive,0.4136061905376343,-0.011085214027436008,,,,,,1394325773,50
16,0,1,7,H,0.5058983231159799,0.747222776598591,0.2413244534826111,24.0,7.0,0.2916666666666667,1.0,675294229,50
16,0,1,7,M,0.5058983231159799,0.6615696794248164,0.15567135630883644,50.0,22.0,0.44,1.0,675294229,50
16,0,1,7,HM_naive,0.5058983231159799,0.747222776598591,0.2413244534826111,39.0,14.0,0.358974358974359,1.0256410256410255,675294229,50
16,0,1,7,HM_channel,0.5058983231159799,0.747222776598591,0.2413244534826111,29.0,10.0,0.3448275862068966,1.0344827586206897,675294229,50
16,0,1,7,Strong_delta_HM_channel,0.5058983231159799,0.0,,,,,,675294229,50
16,0,1,7,Strong_delta_HM_naive,0.5058983231159799,0.0,,,,,,675294229,50
16,0,2,7,H,0.5058983231159799,0.7370102045464866,0.23111188143050665,30.0,10.0,0.3333333333333333,1.0333333333333334,675294229,50
16,0,2,7,M,0.5058983231159799,0.6640037969200261,0.15810547380404616,49.0,22.0,0.4489795918367347,1.6734693877551021,675294229,50
16,0,2,7,HM_naive,0.5058983231159799,0.7180408691504336,0.2121425460344537,36.0,16.0,0.4444444444444444,1.4444444444444444,675294229,50
16,0,2,7,HM_channel,0.5058983231159799,0.747222776598591,0.2413244534826111,25.0,9.0,0.36,1.2,675294229,50
16,0,2,7,Strong_delta_HM_channel,0.5058983231159799,0.010212572052104463,,,,,,675294229,50
16,0,2,7,Strong_delta_HM_naive,0.5058983231159799,-0.018969335396052944,,,,,,675294229,50
16,0,4,7,H,0.5058983231159799,0.7261219321805737,0.22022360906459382,30.0,11.0,0.36666666666666664,1.1333333333333333,675294229,50
16,0,4,7,M,0.5058983231159799,0.6648771297680404,0.15897880665206043,50.0,24.0,0.48,3.26,675294229,50
16,0,4,7,HM_naive,0.5058983231159799,0.7274376815895863,0.2215393584736064,26.0,12.0,0.46153846153846156,1.5769230769230769,675294229,50
